msa_a,msa_b,distance
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e4/81181ebc99891bc9cae5e2440b22fe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/75/d91f6ebca5500b6ab9d65ca1b4f3f3/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/90/0933f36e1940296a22eb727ddaaa25/muscle.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e0/b043b4556fe0071ca5c2704ed68474/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/e7/ce1e829aa8e438aae7157584e1638e/kalign.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/59/224a7ec07ef15a3d0a730d08fb53f7/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/ba/e5364a4ff7acec100ee02962b8fa3d/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/6d/99401cc7e0798b6c43253127597ce7/mafft.fasta,0
