msa_a,msa_b,distance
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/67/53d8be1f969746e84b3e162a1cf6dc/clustalo.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/0a/0f8ccce3dcedd193c2c9489a684541/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/c1/00dcb30433ad271246629b7df91249/kalign.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/82/b17bc4f64f0b53c00f81f8d1430c0d/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/08/508c8ad4da4c506c56ac489fa1a454/probcons.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/08/508c8ad4da4c506c56ac489fa1a454/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/c1/00dcb30433ad271246629b7df91249/kalign.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/0a/0f8ccce3dcedd193c2c9489a684541/clustalw.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/08/508c8ad4da4c506c56ac489fa1a454/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/52/1538a63a025e48e93c2bc5ee48fabe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/67/53d8be1f969746e84b3e162a1cf6dc/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/82/b17bc4f64f0b53c00f81f8d1430c0d/mafft.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/c1/00dcb30433ad271246629b7df91249/kalign.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/60/c23d5e98409cab8f7636e29cab5aaf/muscle.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/67/53d8be1f969746e84b3e162a1cf6dc/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/60/c23d5e98409cab8f7636e29cab5aaf/muscle.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/c1/00dcb30433ad271246629b7df91249/kalign.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/52/1538a63a025e48e93c2bc5ee48fabe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/52/1538a63a025e48e93c2bc5ee48fabe/t_coffee.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/08/508c8ad4da4c506c56ac489fa1a454/probcons.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/82/b17bc4f64f0b53c00f81f8d1430c0d/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/67/53d8be1f969746e84b3e162a1cf6dc/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/0a/0f8ccce3dcedd193c2c9489a684541/clustalw.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/60/c23d5e98409cab8f7636e29cab5aaf/muscle.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/82/b17bc4f64f0b53c00f81f8d1430c0d/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/52/1538a63a025e48e93c2bc5ee48fabe/t_coffee.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/82/b17bc4f64f0b53c00f81f8d1430c0d/mafft.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/67/53d8be1f969746e84b3e162a1cf6dc/clustalo.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/c1/00dcb30433ad271246629b7df91249/kalign.fasta,0.2
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/c1/00dcb30433ad271246629b7df91249/kalign.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/11/8b08a5eae40b7a406c537c55adc1d0/amap.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/60/c23d5e98409cab8f7636e29cab5aaf/muscle.fasta,0
/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/0a/0f8ccce3dcedd193c2c9489a684541/clustalw.fasta,/home/byna/Documents/Code/Project/pipeline/MSA-comparison-pipeline/work/82/b17bc4f64f0b53c00f81f8d1430c0d/mafft.fasta,0
